Member,Time,Corners
Ishida Yuumi,454,7
Abe Wakana,395,7
Asao Momoka,206,6
Izumi Ayano,177,5
Umeyama Cocona,173,6
Kameno Zion,125,2
Kojima Karin,399,6
Shiotsuki Keito,248,5
Jonishi Rei,308,5
Sugiura Kotone,134,2
Sumino Wakana,240,7
Nakano Mirai,281,6
Hirayama Mai,343,9
Maeda Reiko,397,7
Mizuta Shiori,151,4
Minami Haasa,271,7
Yasuda Momone,217,7
Yamamoto Mikana,369,8
Yoshino Misaki,237,5
Wada Miyu,324,7
Deguchi Yuina,684,17
Sadano Haruka,671,16
Shinzawa Nao,255,7
Hara Karen,121,5
Okamoto Rena,220,7
Yamasaki Amiru,194,4
Satsuki Aika,153,5
Lee Siyeon,375,8
Orisaka Koharu,162,5
Kato Yuuka,465,8
Manabe Anju,209,5
Kuroda Fuuwa,184,5
Hongo Yuzuha,267,5
Kawakami Chihiro,217,5
Nakagawa Mion,118,3
Hayakawa Yuna,178,6
Hori Shion,262,6
Shibuya Nagisa,75,2
Uno Mizuki,114,3
