date,likes,comments
2020-02-17,1795,184
2020-02-19,1410,91
2020-02-22,1130,49
2020-02-22,1345,63
2020-03-06,1236,38
2020-03-17,1616,67
2020-03-19,1277,54
2020-03-20,1469,57
2020-03-22,1344,60
2020-03-24,1041,34
2020-03-26,1322,57
2020-04-01,1199,39
2020-04-10,1017,55
2020-04-12,1297,44
2020-04-17,876,27
2020-04-18,1054,47
2020-04-20,882,30
2020-04-23,1011,35
2020-04-25,900,32
2020-04-26,1300,42
2020-04-28,872,43
2020-05-05,938,41
2020-05-08,1187,33
2020-05-09,817,38
2020-05-11,1732,116
2020-05-16,1489,64
2020-05-26,1291,42
2020-05-28,1310,47
2020-05-31,1321,38
2020-06-03,1244,42
2020-06-05,1331,61
2020-06-06,923,34
2020-06-09,1206,53
2020-06-14,1314,42
2020-06-16,1458,66
2020-06-17,1141,50
2020-06-18,1343,46
2020-06-22,1316,58
2020-06-26,901,33
2020-07-02,1312,49
2020-07-03,932,33
2020-07-11,947,28
2020-07-11,1693,69
2020-07-13,1453,58
2020-07-15,1390,40
2020-07-19,1386,57
2020-08-02,1597,40
2020-08-06,1405,33
2020-08-11,1606,51
2020-08-20,1680,49
2020-08-23,1533,49
2020-09-20,1546,41
2020-09-22,1463,53
2020-09-27,1351,32
2020-10-04,1501,41
2020-10-24,3247,63
2020-11-08,1403,49
2020-11-08,1471,35
2020-11-23,1559,42
2020-11-28,1986,82
2020-12-08,1523,45
2020-12-12,1629,47
2020-12-19,1370,39
2020-12-20,2335,90
2020-12-31,1814,54
2021-01-02,1837,49
2021-01-20,2015,89
2021-02-08,2034,65
2021-02-22,4188,214
2021-02-28,2454,56
2021-03-04,2861,33
2021-03-08,2289,66
2021-03-21,1930,55
2021-03-28,2355,83
2021-03-31,2123,62
2021-04-02,2050,55
2021-04-15,2617,176
2021-04-24,2697,122
2021-04-28,2515,90
2021-05-02,7881,314
2021-05-04,3685,144
2021-05-13,3304,101
2021-05-16,3128,150
2021-05-19,3211,163
2021-05-29,2465,74
2021-06-01,4515,123
2021-06-04,2752,97
2021-06-09,3866,147
2021-06-11,1863,83
2021-06-12,3655,142
2021-06-15,2078,111
2021-06-18,3452,117
2021-06-21,6637,212
2021-06-22,5768,207
2021-06-27,3991,139
2021-06-28,5631,187
2021-06-30,5766,163
2021-07-04,4606,131
2021-07-09,3421,128
2021-07-13,7640,225
2021-07-17,4447,155
2021-07-18,3814,152
2021-07-19,4161,192
2021-07-22,4298,127
2021-07-24,4151,176
2021-07-25,3977,167
2021-07-27,5608,159
2021-07-28,6052,213
2021-08-10,5226,227
2021-08-23,9336,334
2021-08-24,11590,329
2021-08-31,7119,222
2021-09-05,6156,222
2021-09-11,6525,189
2021-09-22,9674,275
2021-09-23,6197,224
2021-09-27,5549,208
2021-09-28,7105,242
2021-10-01,7967,217
2021-10-04,12546,332
2021-10-09,5296,204
2021-10-10,6914,220
2021-10-13,4443,179
2021-10-16,6502,206
2021-10-21,9832,267
2021-10-25,3658,138
2021-10-26,5767,184
2021-11-01,18399,353
2021-11-04,5237,204
2021-11-05,6566,267
2021-11-08,11124,325
2021-11-11,7391,402
2021-11-13,12263,321
2021-11-14,6373,257
2021-11-16,6029,237
2021-11-22,5720,236
2021-11-29,4843,189
2021-11-30,17597,481
2021-12-05,21071,514
2021-12-07,7365,300
2021-12-14,6583,281
2021-12-17,5311,208
2021-12-19,9604,286
2021-12-21,14024,372
2021-12-25,9213,393
2021-12-28,12408,321
