,nvmea,ahu,Logic,riku,sleeves<3,Peachie,Cammy,Platinam Flash,Risuke,mana<3,Seb,Razgriz,Groovy,Rainnous,icecream,Sano,Ombre,Aruda,Arkasas,akniteu,Geoff,Matt,HotSauce,Martin Roy,Jar,otabe,Kyuri,Ame,Hugo,Batata,chao,poppop,vlad,mari,Leina,Onieyez,skyrin,Part-Time Pirates,PT,wave,LemonTea,dina,Smilodon,pao,firstky,SaitoWinterStar,ffox,zeroshiki,David
16,Hongō Yuzuha,Umeyama Cocona,Kojima Karin,Yamasaki Amiru,Yamamoto Mikana,Umeyama Cocona,Umeyama Cocona,Hongō Yuzuha,Yasuda Momone,Umeyama Cocona,Shiotsuki Keito,Yasuda Momone,Shibuya Nagisa,Katō Yūka,Hongō Yuzuha,Umeyama Cocona,Abe Wakana,Abe Wakana,Shibuya Nagisa,Umeyama Cocona,Kawakami Chihiro,Hara Karen,Umeyama Cocona,Abe Wakana,Katō Yūka,Umeyama Cocona,Hara Karen,Jōnishi Rei,Kawakami Chihiro,Minami Haasa,Kojima Karin,Yamamoto Mikana,Uno Mizuki,Shibuya Nagisa,Jōnishi Rei,Deguchi Yuina,Umeyama Cocona,Hongō Yuzuha,Hongō Yuzuha,Katō Yūka,Yamamoto Mikana,Kawano Nanaho,Yamamoto Mikana,Yamamoto Mikana,Kuroda Fūwa,Shibuya Nagisa,Shibuya Nagisa,Yamamoto Mikana,Shibuya Nagisa
15,Shobu Marin,Yamamoto Mikana,Shiotsuki Keito,Nakano Mirai,Kameno Zion,Yasuda Momone,Abe Wakana,Shinzawa Nao,Sumino Wakana,Yamamoto Mikana,Yamamoto Mikana,Jōnishi Rei,Shiotsuki Keito,Shiotsuki Keito,Hara Karen,Abe Wakana,Yamamoto Mikana,Jōnishi Rei,Jōnishi Rei,Yoshino Misaki,Kawano Nanaho,Yoshino Misaki,Wada Miyu,Shibuya Nagisa,Wada Miyu,Hara Karen,Yamasaki Amiru,Satsuki Aika,Abe Wakana,Shibuya Nagisa,Shibuya Nagisa,Shibuya Nagisa,Yasuda Momone,Manabe Anju,Hara Karen,Kuroda Fūwa,Shinzawa Nao,Abe Wakana,Sumino Wakana,Kawakami Chihiro,Umeyama Cocona,Yamamoto Mikana,Shiotsuki Keito,Jōnishi Rei,Hayakawa Yuna,Kawakami Chihiro,Hara Karen,Shibuya Nagisa,Kawakami Chihiro
14,Yasuda Momone,Jōnishi Rei,Yamamoto Mikana,Sumino Wakana,Kuroda Fūwa,Hongō Yuzuha,Shobu Marin,Wada Miyu,Satsuki Aika,Manabe Anju,Kameno Zion,Sumino Wakana,Minami Haasa,Hara Karen,Katō Yūka,Shibuya Nagisa,Umeyama Cocona,Kuroda Fūwa,Satsuki Aika,Kameno Zion,Deguchi Yuina,Kuroda Fūwa,Yamamoto Mikana,Umeyama Cocona,Yamasaki Amiru,Yoshino Misaki,Abe Wakana,Sugiura Kotone,Jōnishi Rei,Shiotsuki Keito,Yamamoto Mikana,Kawano Nanaho,Kameno Zion,Yamasaki Amiru,Umeyama Cocona,Izumi Ayano,Katō Yūka,Maeda Reiko,Sadano Haruka,Hongō Yuzuha,Wada Miyu,Maeda Reiko,Umeyama Cocona,Kawano Nanaho,Yamamoto Mikana,Shiotsuki Keito,Maeda Reiko,Kameno Zion,Katō Yūka
13,Okamoto Rena,Shibuya Nagisa,Umeyama Cocona,Abe Wakana,Umeyama Cocona,Shinzawa Nao,Shiotsuki Keito,Jōnishi Rei,Wada Miyu,Yoshino Misaki,Yoshino Misaki,Hongō Yuzuha,Hongō Yuzuha,Izumi Ayano,Jōnishi Rei,Kawano Nanaho,Jōnishi Rei,Shobu Marin,Kojima Karin,Yasuda Momone,Yasuda Momone,Abe Wakana,Shibuya Nagisa,Hongō Yuzuha,Izumi Ayano,Hongō Yuzuha,Umeyama Cocona,Abe Wakana,Kojima Karin,Deguchi Yuina,Abe Wakana,Abe Wakana,Jōnishi Rei,Umeyama Cocona,Minami Haasa,Hongō Yuzuha,Lee Siyeon,Kawano Nanaho,Yasuda Momone,Sadano Haruka,Jōnishi Rei,Umeyama Cocona,Kameno Zion,Umeyama Cocona,Kawano Nanaho,Shinzawa Nao,Yamamoto Mikana,Umeyama Cocona,Hongō Yuzuha
12,Hara Karen,Yamasaki Amiru,Abe Wakana,Hongō Yuzuha,Abe Wakana,Jōnishi Rei,Shinzawa Nao,Kojima Karin,Jōnishi Rei,Abe Wakana,Katō Yūka,Hori Shion,Nakano Mirai,Shibuya Nagisa,Satsuki Aika,Kameno Zion,Sadano Haruka,Hongō Yuzuha,Yoshino Misaki,Abe Wakana,Ishida Yūmi,Deguchi Yuina,Abe Wakana,Shinzawa Nao,Yoshino Misaki,Yasuda Momone,Jōnishi Rei,Yamamoto Mikana,Shinzawa Nao,Kawano Nanaho,Shiotsuki Keito,Hongō Yuzuha,Umeyama Cocona,Abe Wakana,Shibuya Nagisa,Satsuki Aika,Kawakami Chihiro,Yamamoto Mikana,Izumi Ayano,Kuroda Fūwa,Kojima Karin,Yamasaki Amiru,Kuroda Fūwa,Manabe Anju,Shobu Marin,Abe Wakana,Abe Wakana,Asao Momoka,Deguchi Yuina
11,Nakano Mirai,Kojima Karin,Jōnishi Rei,Shiotsuki Keito,Shiotsuki Keito,Katō Yūka,Hongō Yuzuha,Yamamoto Mikana,Kawakami Chihiro,Hongō Yuzuha,Maeda Reiko,Izumi Ayano,Yasuda Momone,Minami Haasa,Yamasaki Amiru,Minami Haasa,Yasuda Momone,Lee Siyeon,Yasuda Momone,Kuroda Fūwa,Yamasaki Amiru,Umeyama Cocona,Sadano Haruka,Yamamoto Mikana,Yamamoto Mikana,Maeda Reiko,Kojima Karin,Hongō Yuzuha,Izumi Ayano,Izumi Ayano,Katō Yūka,Shiotsuki Keito,Kojima Karin,Wada Miyu,Shiotsuki Keito,Katō Yūka,Jōnishi Rei,Kawakami Chihiro,Abe Wakana,Hara Karen,Shinzawa Nao,Minami Haasa,Izumi Ayano,Shibuya Nagisa,Satsuki Aika,Deguchi Yuina,Kawano Nanaho,Abe Wakana,Shiotsuki Keito
10,Yoshino Misaki,Hongō Yuzuha,Shibuya Nagisa,Umeyama Cocona,Nakano Mirai,Shibuya Nagisa,Yamamoto Mikana,Ishida Yūmi,Katō Yūka,Shiotsuki Keito,Shobu Marin,Satsuki Aika,Maeda Reiko,Sadano Haruka,Shibuya Nagisa,Satsuki Aika,Hara Karen,Yamasaki Amiru,Shiotsuki Keito,Katō Yūka,Abe Wakana,Shibuya Nagisa,Yasuda Momone,Shiotsuki Keito,Kawano Nanaho,Abe Wakana,Hongō Yuzuha,Lee Siyeon,Kameno Zion,Hara Karen,Umeyama Cocona,Hara Karen,Maeda Reiko,Katō Yūka,Yamamoto Mikana,Sadano Haruka,Yamamoto Mikana,Izumi Ayano,Umeyama Cocona,Yasuda Momone,Shiotsuki Keito,Deguchi Yuina,Hara Karen,Kuroda Fūwa,Shiotsuki Keito,Umeyama Cocona,Shiotsuki Keito,Satsuki Aika,Abe Wakana
9,Manabe Anju,Satsuki Aika,Hongō Yuzuha,Satsuki Aika,Yoshino Misaki,Abe Wakana,Jōnishi Rei,Hara Karen,Shibuya Nagisa,Sadano Haruka,Shibuya Nagisa,Kuroda Fūwa,Sadano Haruka,Okamoto Rena,Hirayama Mai,Izumi Ayano,Hongō Yuzuha,Yoshino Misaki,Hara Karen,Shiotsuki Keito,Maeda Reiko,Hayakawa Yuna,Sumino Wakana,Kojima Karin,Ishida Yūmi,Nakagawa Mion,Yamamoto Mikana,Umeyama Cocona,Satsuki Aika,Okamoto Rena,Kawakami Chihiro,Jōnishi Rei,Nakagawa Mion,Jōnishi Rei,Maeda Reiko,Shinzawa Nao,Kojima Karin,Umeyama Cocona,Deguchi Yuina,Shiotsuki Keito,Shibuya Nagisa,Kameno Zion,Wada Miyu,Minami Haasa,Shinzawa Nao,Kojima Karin,Jōnishi Rei,Minami Haasa,Sadano Haruka
8,Kuroda Fūwa,Sumino Wakana,Sumino Wakana,Kawakami Chihiro,Asao Momoka,Shiotsuki Keito,Hara Karen,Yamasaki Amiru,Umeyama Cocona,Kuroda Fūwa,Jōnishi Rei,Uno Mizuki,Izumi Ayano,Manabe Anju,Abe Wakana,Yamasaki Amiru,Shibuya Nagisa,Kawano Nanaho,Sadano Haruka,Hongō Yuzuha,Katō Yūka,Wada Miyu,Katō Yūka,Sadano Haruka,Shibuya Nagisa,Shobu Marin,Kawakami Chihiro,Kawakami Chihiro,Yamasaki Amiru,Katō Yūka,Kawano Nanaho,Minami Haasa,Okamoto Rena,Deguchi Yuina,Yamasaki Amiru,Shobu Marin,Hongō Yuzuha,Kojima Karin,Maeda Reiko,Satsuki Aika,Yoshino Misaki,Abe Wakana,Jōnishi Rei,Shinzawa Nao,Yamasaki Amiru,Jōnishi Rei,Umeyama Cocona,Kuroda Fūwa,Minami Haasa
7,Sumino Wakana,Minami Haasa,Satsuki Aika,Hara Karen,Satsuki Aika,Kuroda Fūwa,Kawano Nanaho,Shobu Marin,Abe Wakana,Maeda Reiko,Abe Wakana,Nakagawa Mion,Kawano Nanaho,Lee Siyeon,Deguchi Yuina,Shiotsuki Keito,Katō Yūka,Shibuya Nagisa,Sumino Wakana,Izumi Ayano,Shibuya Nagisa,Jōnishi Rei,Hara Karen,,,Yamamoto Mikana,Shibuya Nagisa,Manabe Anju,Hara Karen,Umeyama Cocona,Yoshino Misaki,Satsuki Aika,Sadano Haruka,Yoshino Misaki,Kojima Karin,Yamamoto Mikana,Yoshino Misaki,Nakano Mirai,Mizuta Shiori,Shinzawa Nao,Hara Karen,Satsuki Aika,Ishida Yūmi,Yamasaki Amiru,,Yasuda Momone,Katō Yūka,Shinzawa Nao,Hara Karen
