Member,Followers,Likes,Comments
Shibuya Nagisa,433,22,180
Hongō Yuzuha,148,13,270
Yamamoto Mikana,143,14,160
Jōnishi Rei,143,6,220
Kojima Karin,89,7.5,140
Kawakami Chihiro,81,2.8,60
Shinzawa Nao,73,6.5,190
Katō Yūka,73,2.5,55
Wada Miyu,59,4,230
Hara Karen,53,2.5,75
Ishida Yūmi,52,1.9,110
Sadano Haruka,34,2.2,110
Abe Wakana,33,2.2,85
Hirayama Mai,30,1.7,65
Hori Shion,30,1.9,35
Deguchi Yuina,29,1.5,45
Okamoto Rena,23,1,45
Mizuta Shiori,21,0,0
Maeda Reiko,20,0,0
Shiotsuki Keito,17,1.9,75
Nakano Mirai,17,0.9,30
Izumi Ayano,12,1.5,60
Lee Siyeon,10,1.4,40
Manabe Anju,9,0.9,45
Satsuki Aika,7,1,45
Hayakawa Yuna,7,0.9,60
Sumino Wakana,6,1.1,80
Kuroda Fūwa,5,1.5,80
Asao Momoka,3,0.8,100
Kameno Zion,0,0,0
Sakashita Mako,0,0,0
Sakata Misaki,0,0,0
Kuroshima Sakura,0,0,0
Sakurada Ayaka,0,0,0
Yoshino Misaki,0,0,0
Tanaka Yukino,0,0,0
Uno Mizuki,0,0,0
Matsuoka Sakura,0,0,0
Ike Honoka,0,0,0
Yamamoto Hikaru,0,0,0
Sakamoto Risa,0,0,0
Tatsumoto Yayoi,0,0,0
Fukuno Ami,0,0,0
Matsuno Mio,0,0,0
Matsumoto Mihina,0,0,0
