Member,Date,Likes,Retweets
Yamamoto Mikana,2022-10-06,1842,405
Shibuya Nagisa,2022-10-09,1373,272
Kameno Zion,2022-09-14,1360,303
Sakata Misaki,2022-10-09,1297,237
Kojima Karin,2022-10-11,1273,283
Jōnishi Rei,2022-10-07,1188,255
Kuroda Fūwa,2022-10-04,1176,239
Wada Miyu,2022-09-16,1176,222
Hara Karen,2022-10-05,1138,236
Hayakawa Yuna,2022-10-07,1101,205
Shiotsuki Keito,2022-09-18,1097,251
Abe Wakana,2022-10-10,1087,231
Hongō Yuzuha,2022-09-16,1049,227
Kawakami Chihiro,2022-09-21,1041,226
Shinzawa Nao,2022-09-15,973,212
Sakashita Mako,2022-09-19,964,175
Lee Siyeon,2022-10-03,956,206
Maeda Reiko,2022-09-26,950,182
Satsuki Aika,2022-10-06,941,207
Sakurada Ayaka,2022-09-15,924,181
Sumino Wakana,2022-09-21,899,173
Katō Yūka,2022-10-08,897,174
Izumi Ayano,2022-09-22,892,186
Asao Momoka,2022-09-25,885,178
Tanaka Yukino,2022-10-08,881,192
Tatsumoto Yayoi,2022-09-23,858,165
Sadano Haruka,2022-10-05,855,156
Yoshino Misaki,2022-10-04,851,149
Deguchi Yuina,2022-10-10,831,164
Hirayama Mai,2022-09-25,815,152
Matsuoka Sakura,2022-10-02,814,128
Ishida Yūmi,2022-10-01,812,164
Mizuta Shiori,2022-09-17,804,153
Ike Honoka,2022-09-23,794,140
Sakamoto Risa,2022-09-20,789,153
Manabe Anju,2022-09-24,785,151
Kuroshima Sakura,2022-09-17,770,144
Hori Shion,2022-09-26,754,139
Yamamoto Hikaru,2022-10-01,722,139
Nakano Mirai,2022-09-19,720,134
Okamoto Rena,2022-09-22,712,128
Fukuno Ami,2022-09-20,712,132
Matsuno Mio,2022-10-03,689,117
Uno Mizuki,2022-09-24,663,115
Matsumoto Mihina,2022-10-02,630,114
