,nvmea,otabe<3,mana<3,cammy,Matto,Firstky,GeoFreak,JAR,Jocasta,zeroshiki,CY,tercet,poppop,LemonTea,Sano,starcross,hijiri,Risuke,pao,arashi,udon,Batata,KebPH,PT,ffox,Danny,Leina,Onieyez,Rainnous,sleeves<3,Seb,Umeyamamotozuttodaisuki,fuu,wide HIDE,Chao,Arkasas,Peachie,OmbreCachee,ahu,akniteu,Razgriz,riku,Aruda,Mithena,mamichan,vladimir,marlene,Dina,Ame,David,MyuKyun,mari,Moomin,HotSauce,ARealPerson
16,Hongō Yuzuha,Kameno Zion, Yoshino Misaki,  Shiotsuki Keito,Hara Karen, Satsuki Aika,    Kawakami Chihiro, Wada Miyu, Shiotsuki Keito,    Yamamoto Mikana, Hori Shion,    Sakashita Mako,    Yamamoto Mikana  , Yamamoto Mikana, Abe Wakana,    Abe Wakana, Shiotsuki Keito, Jōnishi Rei, Yamamoto Mikana, Yoshino Misaki, Sumino Wakana,    Minami Haasa,  Yoshino Misaki,  Hongō Yuzuha, Hara Karen,    Yoshino Misaki, Hara Karen, Deguchi Yuina,    Izumi Ayano, Yamamoto Mikana,    Shiotsuki Keito, Kuroda Fūwa, Kuroda Fūwa, Asao Momoka, Kojima Karin,    Jōnishi Rei , Shinzawa Nao, Abe Wakana,Sumino Wakana, Yoshino Misaki, Jōnishi Rei, Sumino Wakana, Abe Wakana,Yamamoto Mikana,Lee Siyeon,Jōnishi Rei,Maeda Reiko,Kameno Zion, Jōnishi Rei,Shibuya Nagisa,Wada Miyu,Shibuya Nagisa,Lee Siyeon,Shibuya Nagisa,Yoshino Misaki
15,Shinzawa Nao, Yamamoto Hikaru, Yamamoto Mikana,  Shinzawa Nao,Yoshino Misaki, Kameno Zion,    Deguchi Yuina, Katō Yūka, Tanaka Yukino,    Shibuya Nagisa, Lee Siyeon,    Kojima Karin,    Shibuya Nagisa  , Jōnishi Rei, Shibuya Nagisa,    Manabe Anju, Shibuya Nagisa, Kawakami Chihiro, Jōnishi Rei, Yamamoto Mikana, Abe Wakana,    Shibuya Nagisa,  Yamamoto Hikaru,  Sumino Wakana,Shibuya Nagisa,    Shibuya Nagisa, Jōnishi Rei, Izumi Ayano,    Hara Karen, Kameno Zion,    Yamamoto Mikana, Shiotsuki Keito, Izumi Ayano, Kameno Zion, Shibuya Nagisa,    Shibuya Nagisa, Hongō Yuzuha, Sadano Haruka,Yamamoto Mikana, Tanaka Yukino, Sumino Wakana, Ike Honoka, Lee Siyeon,Kameno Zion,Abe Wakana,Uno Mizuki,Shibuya Nagisa,Yamamoto Mikana,Kawakami Chihiro,Kawakami Chihiro,Kuroda Fūwa,Manabe Anju, Jōnishi Rei,Wada Miyu,Lee Siyeon
14,Manabe Anju,  Nakagawa Mion, Abe Wakana,  Yamamoto Mikana,Abe Wakana, Kuroda Fūwa,    Tatsumoto Yayoi, Izumi Ayano, Sakata Misaki,    Kameno Zion, Hongō Yuzuha,    Shiotsuki Keito,    Maeda Reiko  ,Sakashita Mako, Minami Haasa,    Minami Haasa, Yamamoto Mikana, Abe Wakana, Sumino Wakana, Abe Wakana, Lee Siyeon,    Shiotsuki Keito,  Tanaka Yukino,  Lee Siyeon, Maeda Reiko,    Minami Haasa, Yamamoto Mikana, Kuroda Fūwa,    Katō Yūka, Sakashita Mako,    Yoshino Misaki, Sakata Misaki, Abe Wakana, Nakano Mirai, Yamamoto Mikana,    Kojima Karin, Shibuya Nagisa, Jōnishi Rei,Sakashita Mako, Kameno Zion, Hongō Yuzuha, Nakano Mirai, Kuroda Fūwa,Shiotsuki Keito,Sakurada Ayaka,Kojima Karin,Yamamoto Mikana,Maeda Reiko,Izumi Ayano,Deguchi Yuina,Deguchi Yuina,Lee Siyeon,Kawakami Chihiro,Sumino Wakana,Kuroda Fūwa
13,Yoshino Misaki,   Hara Karen, Tatsumoto Yayoi,  Hongō Yuzuha,Kuroda Fūwa, Hayakawa Yuna,    Ishida Yūmi, Sakurada Ayaka, Minami Haasa,    Sakashita Mako, Abe Wakana,    Yamamoto Mikana,    Abe Wakana  , Wada Miyu, Hongō Yuzuha,    Yoshino Misaki, Jōnishi Rei, Katō Yūka, Shibuya Nagisa, Wada Miyu, Deguchi Yuina,    Deguchi Yuina,  Kuroda Fūwa,  Sadano Haruka, Jōnishi Rei,    Hara Karen, Minami Haasa, Shinzawa Nao,    Shiotsuki Keito, Sakamoto Risa,    Kameno Zion, Deguchi Yuina, Hara Karen, Satsuki Aika, Abe Wakana,    Satsuki Aika , Jōnishi Rei, Yamamoto Mikana,Hongō Yuzuha, Kuroda Fūwa, Izumi Ayano, Abe Wakana, Jōnishi Rei,Tanaka Yukino,Tanaka Yukino,Nakagawa Mion,Deguchi Yuina,Izumi Ayano,Abe Wakana,Abe Wakana,Matsuoka Sakura,Jōnishi Rei,Kojima Karin,Abe Wakana,Asao Momoka
12,Sumino Wakana, Abe Wakana, Manabe Anju,  Abe Wakana,Deguchi Yuina, Yamamoto Mikana,    Maeda Reiko, Yamamoto Mikana, Izumi Ayano,    Abe Wakana, Hara Karen,    Shibuya Nagisa,    Jōnishi Rei  , Hara Karen, Satsuki Aika,    Yamamoto Mikana, Abe Wakana, Shibuya Nagisa, Hirayama Mai, Jōnishi Rei, Satsuki Aika,    Izumi Ayano,  Izumi Ayano,  Maeda Reiko, Yamamoto Mikana,    Deguchi Yuina, Shibuya Nagisa, Sadano Haruka,    Sadano Haruka, Yamamoto Hikaru,    Katō Yūka, Shinzawa Nao, Maeda Reiko, Matsumoto Mihina, Kawakami Chihiro,    Sumino Wakana, Matsuoka Sakura, Lee Siyeon,Shibuya Nagisa, Abe Wakana, Nakagawa Mion, Satsuki Aika, Sakurada Ayaka,Yoshino Misaki,Minami Haasa,Kawakami Chihiro,Sadano Haruka,Kawakami Chihiro,Satsuki Aika,Sadano Haruka,Minami Haasa, Katō Yūka, Katō Yūka,Yamamoto Mikana, Hongō Yuzuha
11,Kuroda Fūwa,   Shiotsuki Keito, Sadano Haruka,  Jōnishi Rei,Lee Siyeon, Matsuno Mio,    Abe Wakana, Sakashita Mako, Shibuya Nagisa,    Asao Momoka, Satsuki Aika,    Abe Wakana,    Shiotsuki Keito, Kojima Karin, Kameno Zion,    Nakano Mirai, Minami Haasa, Shiotsuki Keito, Manabe Anju, Shiotsuki Keito, Shiotsuki Keito,    Hara Karen,  Abe Wakana,  Sakashita Mako, Shiotsuki Keito,    Abe Wakana, Shiotsuki Keito, Satsuki Aika,    Minami Haasa, Kuroda Fūwa,    Maeda Reiko, Abe Wakana, Yamamoto Mikana, Yamamoto Hikaru, Shiotsuki Keito,    Abe Wakana, Abe Wakana, Kawakami Chihiro,Jōnishi Rei, Satsuki Aika, Hori Shion, Shinzawa Nao, Kameno Zion,Satsuki Aika,Hirayama Mai,Maeda Reiko,Kawakami Chihiro,Minami Haasa,Minami Haasa, Katō Yūka,Kojima Karin,Abe Wakana,Satsuki Aika,Sadano Haruka,Jōnishi Rei
10,Wada Miyu,  Maeda Reiko, Kameno Zion,  Yoshino Misaki,Wada Miyu, Tanaka Yukino,    Katō Yūka, Yoshino Misaki, Jōnishi Rei,    Kuroda Fūwa, Nakagawa Mion,    Jōnishi Rei,    Hara Karen  , Shiotsuki Keito, Lee Siyeon,    Sumino Wakana, Shinzawa Nao, Satsuki Aika, Lee Siyeon, Maeda Reiko, Kameno Zion,    Okamoto Rena,  Asao Momoka,  Izumi Ayano, Abe Wakana,    Yamamoto Mikana, Maeda Reiko, Yamamoto Mikana,    Maeda Reiko, Shiotsuki Keito,    Shinzawa Nao, Hara Karen, Sumino Wakana, Hori Shion, Jōnishi Rei,    Yoshino Misaki, Kuroda Fūwa, Hongō Yuzuha,Satsuki Aika, Yamamoto Hikaru, Kuroda Fūwa, Asao Momoka, Matsuoka Sakura,Lee Siyeon,Deguchi Yuina,Kameno Zion,Shiotsuki Keito,Deguchi Yuina,Asao Momoka, Hongō Yuzuha, Katō Yūka,Satsuki Aika, Yamamoto Mikana, Katō Yūka,Wada Miyu
9,Hara Karen,Shinzawa Nao, Hongō Yuzuha,  Kameno Zion,Shibuya Nagisa, Matsuoka Sakura,    Izumi Ayano, Shibuya Nagisa, Hara Karen,    Satsuki Aika, Shinzawa Nao,    Hongō Yuzuha,    Mizuta Shiori, Yoshino Misaki, Katō Yūka,    Deguchi Yuina, Izumi Ayano, Sumino Wakana, Kojima Karin, Hongō Yuzuha, Hara Karen,    Yamamoto Mikana,  Satsuki Aika,  Yoshino Misaki, Tanaka Yukino,    Kojima Karin, Abe Wakana, Tanaka Yukino,    Okamoto Rena, Yoshino Misaki,    Jōnishi Rei, Jōnishi Rei, Kojima Karin, Hongō Yuzuha, Yoshino Misaki,    Hara Karen, Asao Momoka, Sumino Wakana,Takahashi Sae, Sakashita Mako, Uno Mizuki, Hongō Yuzuha, Maeda Reiko,Kuroda Fūwa,Izumi Ayano,Okamoto Rena,Kojima Karin,Mizuta Shiori, Kuroda Fūwa,Shiotsuki Keito,Shinzawa Nao,Deguchi Yuina,Deguchi Yuina,Minami Haasa,Abe Wakana
8,Okamoto Rena, Hongō Yuzuha, Hara Karen,  Kawakami Chihiro,Hayakawa Yuna, Sakurada Ayaka,    Sumino Wakana, Ishida Yūmi, Hayakawa Yuna,    Minami Haasa, Sakamoto Risa,    Kameno Zion,    Satsuki Aika, Shibuya Nagisa, Izumi Ayano,    Satsuki Aika, Tanaka Yukino, Wada Miyu, Kuroda Fūwa, Deguchi Yuina, Kuroda Fūwa,    Kameno Zion,  Hongō Yuzuha,  Abe Wakana, Kawakami Chihiro,    Shiotsuki Keito, Kojima Karin, Hongō Yuzuha,    Shibuya Nagisa, Izumi Ayano,    Abe Wakana, Matsuoka Sakura, Shiotsuki Keito, Uno Mizuki, Katō Yūka,    Sadano Haruka, Sumino Wakana, Shibuya Nagisa,Kameno Zion, Sakurada Ayaka, Satsuki Aika, Kawakami Chihiro, Minami Haasa,Hara Karen,Matsuoka Sakura,Asao Momoka, Katō Yūka,Abe Wakana,Yamamoto Mikana,Yoshino Misaki,Sadano Haruka, Ishida Yūmi, Ishida Yūmi,Manabe Anju,Hara Karen
7,Sakata Misaki, Yoshino Misaki, Sakata Misaki, Sumino Wakana,Jōnishi Rei, Manabe Anju,    Shibuya Nagisa, Abe Wakana, Kameno Zion,    Shinzawa Nao, Manabe Anju,    Satsuki Aika,    Minami Haasa, Shinzawa Nao, Sumino Wakana, Jōnishi Rei, Sakashita Mako, Minami Haasa, Tatsumoto Yayoi, Satsuki Aika, Jōnishi Rei,    Sadano Haruka, Sakamoto Risa, Tanaka Yukino, Yoshino Misaki,    Wada Miyu, Ike Honoka, Sumino Wakana,    Lee Siyeon, Abe Wakana,    Asao Momoka, Sakamoto Risa, Hongō Yuzuha, Wada Miyu,Hara Karen,    Shiotsuki Keito, Matsumoto Mihina, Hara Karen,Kojima Karin, Shiotsuki Keito, Yoshino Misaki, Shiotsuki Keito, Satsuki Aika,Hayakawa Yuna,Matsumoto Mihina,Abe Wakana,Sumino Wakana,Shiotsuki Keito,Sumino Wakana, Satsuki Aika,Nakagawa Mion,Hara Karen,Asao Momoka,Jōnishi Rei,Nakano Mirai
