,nvmea,otabe<3,mana<3,Riku,GeoFreak,udon,starcross,Produce Maven,yuumi bestest,poppop_po,PT,Platinam Flash,mamichan,Aruda,hijiri,mari,Hachiko,CYシワイ,Risaxp,ffox,Rainnous,Onieyez,pao,wiru-kun,Razgriz,tercet,Arkasas,raublink,Peachie,Seb,Risuke,cammy,skyrin,Chao,Batata,LemonTea,davidp,zeroshiki,ahu<3,Mithena,wide HIDE,JAR,Jocasta,ダイシナ,Dina,Moomin,CaptainTimo,heza-chan,moru,PEACE Achilles,Ame
16,Hongō Yuzuha,Asao Momoka,Sakata Misaki,Ike Honoka,Kawakami Chihiro,Sumino Wakana,Abe Wakana,Lee Siyeon,Ishida Yūmi,Yamamoto Mikana,Hongō Yuzuha,Hongō Yuzuha,Lee Siyeon,Abe Wakana,Shiotsuki Keito,Shibuya Nagisa,Shibuya Nagisa,Hori Shion,Sadano Haruka,Hara Karen,Hara Karen,Kuroda Fūwa,Yamamoto Mikana,Hara Karen,Jōnishi Rei,Sakashita Mako,Jōnishi Rei,Lee Siyeon,Shinzawa Nao,Shiotsuki Keito,Jōnishi Rei,Shiotsuki Keito,Abe Wakana,Kojima Karin,Shibuya Nagisa,Yamamoto Mikana,Shibuya Nagisa,Yamamoto Mikana,Sakashita Mako,Yamamoto Mikana,Asao Momoka,Wada Miyu,Shiotsuki Keito,Kuroda Fūwa,Kameno Zion,Lee Siyeon,Abe Wakana,Wada Miyu,Lee Siyeon,Sumino Wakana,Jōnishi Rei
15,Shinzawa Nao,Kameno Zion,Tatsumoto Yayoi,Shinzawa Nao,Tatsumoto Yayoi,Satsuki Aika,Manabe Anju,Shiotsuki Keito,Hirayama Mai,Shibuya Nagisa,Sumino Wakana,Wada Miyu,Abe Wakana,Lee Siyeon,Yamamoto Mikana,Manabe Anju,Yamamoto Mikana,Lee Siyeon,Sumino Wakana,Shibuya Nagisa,Izumi Ayano,Sumino Wakana,Jōnishi Rei,Katō Yūka,Sumino Wakana,Kojima Karin,Shibuya Nagisa,Sumino Wakana,Hongō Yuzuha,Yamamoto Mikana,Katō Yūka,Shinzawa Nao,Hirayama Mai,Shibuya Nagisa,Shiotsuki Keito,Sakashita Mako,Kawakami Chihiro,Shibuya Nagisa,Sumino Wakana,Kameno Zion,Kameno Zion,Sakurada Ayaka,Hayakawa Yuna,Shiotsuki Keito,Yamamoto Mikana,Kawakami Chihiro,Hara Karen,Uno Mizuki,Yoshino Misaki,Maeda Reiko,Yamamoto Mikana
14,Manabe Anju,Sakashita Mako,Yoshino Misaki,Abe Wakana,Deguchi Yuina,Abe Wakana,Ike Honoka,Kuroda Fūwa,Abe Wakana,Abe Wakana,Sadano Haruka,Ishida Yūmi,Tanaka Yukino,Kuroda Fūwa,Shibuya Nagisa,Sumino Wakana,Sakata Misaki,Tanaka Yukino,Lee Siyeon,Maeda Reiko,Katō Yūka,Deguchi Yuina,Sumino Wakana,Hongō Yuzuha,Hongō Yuzuha,Shibuya Nagisa,Kojima Karin,Yoshino Misaki,Asao Momoka,Kameno Zion,Kawakami Chihiro,Hongō Yuzuha,Asao Momoka,Yamamoto Mikana,Izumi Ayano,Wada Miyu,Abe Wakana,Kameno Zion,Yamamoto Mikana,Tanaka Yukino,Deguchi Yuina,Izumi Ayano,Lee Siyeon,Sakata Misaki,Maeda Reiko,Abe Wakana,Kawakami Chihiro,Asao Momoka,Abe Wakana,Satsuki Aika,Hara Karen
13,Kuroda Fūwa,Maeda Reiko,Abe Wakana,Shiotsuki Keito,Maeda Reiko,Deguchi Yuina,Yamamoto Mikana,Sumino Wakana,Shibuya Nagisa,Maeda Reiko,Lee Siyeon,Jōnishi Rei,Kuroshima Sakura,Sakurada Ayaka,Jōnishi Rei,Lee Siyeon,Lee Siyeon,Hongō Yuzuha,Kameno Zion,Tanaka Yukino,Shiotsuki Keito,Sadano Haruka,Tatsumoto Yayoi,Ishida Yūmi,Izumi Ayano,Yamamoto Mikana,Sumino Wakana,Hara Karen,Sakamoto Risa,Yoshino Misaki,Abe Wakana,Abe Wakana,Kameno Zion,Kawakami Chihiro,Hara Karen,Sakurada Ayaka,Sadano Haruka,Sakashita Mako,Shibuya Nagisa,Tatsumoto Yayoi,Nakano Mirai,Sakashita Mako,Izumi Ayano,Deguchi Yuina,Izumi Ayano,Sadano Haruka,Sumino Wakana,Kameno Zion,Sakashita Mako,Sadano Haruka,Kuroda Fūwa
12,Sumino Wakana,Shinzawa Nao,Yamamoto Mikana,Sumino Wakana,Abe Wakana,Sakurada Ayaka,Maeda Reiko,Satsuki Aika,Yamamoto Mikana,Shiotsuki Keito,Kuroda Fūwa,Hara Karen,Matsuoka Sakura,Jōnishi Rei,Abe Wakana,Satsuki Aika,Manabe Anju,Abe Wakana,Kojima Karin,Jōnishi Rei,Sadano Haruka,Izumi Ayano,Kojima Karin,Wada Miyu,Yoshino Misaki,Shiotsuki Keito,Satsuki Aika,Wada Miyu,Sumino Wakana,Katō Yūka,Satsuki Aika,Jōnishi Rei,Jōnishi Rei,Abe Wakana,Okamoto Rena,Jōnishi Rei,Katō Yūka,Tanaka Yukino,Satsuki Aika,Shiotsuki Keito,Ike Honoka,Katō Yūka,Shibuya Nagisa,Tatsumoto Yayoi,Kawakami Chihiro,Katō Yūka,Jōnishi Rei,Tatsumoto Yayoi,Sakata Misaki,Kawakami Chihiro,Izumi Ayano
11,Yoshino Misaki,Shiotsuki Keito,Satsuki Aika,Satsuki Aika,Ishida Yūmi,Asao Momoka,Yoshino Misaki,Asao Momoka,Wada Miyu,Kojima Karin,Maeda Reiko,Kojima Karin,Sakurada Ayaka,Yoshino Misaki,Tanaka Yukino,Abe Wakana,Yoshino Misaki,Manabe Anju,Shibuya Nagisa,Shiotsuki Keito,Maeda Reiko,Satsuki Aika,Lee Siyeon,Kawakami Chihiro,Kuroda Fūwa,Abe Wakana,Yoshino Misaki,Yamamoto Hikaru,Kuroda Fūwa,Maeda Reiko,Sumino Wakana,Yamamoto Mikana,Kawakami Chihiro,Tanaka Yukino,Kameno Zion,Hara Karen,Deguchi Yuina,Abe Wakana,Kojima Karin,Yoshino Misaki,Lee Siyeon,Yamamoto Mikana,Kojima Karin,Satsuki Aika,Yamamoto Hikaru,Deguchi Yuina,Lee Siyeon,Sadano Haruka,Tanaka Yukino,Shiotsuki Keito,Asao Momoka
10,Sakata Misaki,Sakata Misaki,Sakashita Mako,Sakashita Mako,Izumi Ayano,Tatsumoto Yayoi,Nakano Mirai,Kameno Zion,Okamoto Rena,Satsuki Aika,Kameno Zion,Yamamoto Mikana,Yamamoto Hikaru,Yamamoto Mikana,Sakashita Mako,Wada Miyu,Abe Wakana,Satsuki Aika,Katō Yūka,Yoshino Misaki,Okamoto Rena,Shinzawa Nao,Shibuya Nagisa,Nakano Mirai,Ishida Yūmi,Jōnishi Rei,Matsuno Mio,Kojima Karin,Jōnishi Rei,Kuroda Fūwa,Shiotsuki Keito,Hara Karen,Ike Honoka,Yoshino Misaki,Yamamoto Mikana,Shinzawa Nao,Yoshino Misaki,Sakurada Ayaka,Jōnishi Rei,Satsuki Aika,Satsuki Aika,Yoshino Misaki,Manabe Anju,Izumi Ayano,Abe Wakana,Yoshino Misaki,Wada Miyu,Deguchi Yuina,Satsuki Aika,Jōnishi Rei,Kawakami Chihiro
9,Tanaka Yukino,Kuroshima Sakura,Hongō Yuzuha,Tatsumoto Yayoi,Sakurada Ayaka,Sakashita Mako,Kameno Zion,Yoshino Misaki,Hongō Yuzuha,Hara Karen,Abe Wakana,Kameno Zion,Kameno Zion,Yamamoto Hikaru,Sakata Misaki,Katō Yūka,Satsuki Aika,Hara Karen,Ishida Yūmi,Yamamoto Mikana,Lee Siyeon,Tanaka Yukino,Matsuoka Sakura,Yamamoto Mikana,Hori Shion,Sakurada Ayaka,Abe Wakana,Kuroda Fūwa,Shibuya Nagisa,Satsuki Aika,Hayakawa Yuna,Wada Miyu,Sumino Wakana,Jōnishi Rei,Sadano Haruka,Shiotsuki Keito,Hongō Yuzuha,Asao Momoka,Shinzawa Nao,Kuroda Fūwa,Kuroda Fūwa,Shibuya Nagisa,Tanaka Yukino,Shinzawa Nao,Mizuta Shiori,Hongō Yuzuha,Hongō Yuzuha,Mizuta Shiori,Yamamoto Hikaru,Shinzawa Nao,Abe Wakana
8,Sakashita Mako,Sumino Wakana,Tanaka Yukino,Sakurada Ayaka,Katō Yūka,Lee Siyeon,Satsuki Aika,Katō Yūka,Sadano Haruka,Mizuta Shiori,Kuroshima Sakura,Kawakami Chihiro,Yamamoto Mikana,Satsuki Aika,Shinzawa Nao,Hongō Yuzuha,Hara Karen,Shinzawa Nao,Hirayama Mai,Kawakami Chihiro,Manabe Anju,Hongō Yuzuha,Kuroda Fūwa,Okamoto Rena,Satsuki Aika,Sumino Wakana,Shiotsuki Keito,Yamamoto Mikana,Abe Wakana,Sakashita Mako,Yamamoto Mikana ,Sumino Wakana,Hongō Yuzuha,Sakurada Ayaka,Fukuno Ami,Yoshino Misaki,Kuroda Fūwa,Kuroda Fūwa,Hongō Yuzuha,Hara Karen,Katō Yūka,Kojima Karin,Mizuta Shiori,Yamamoto Mikana,Shiotsuki Keito,Jōnishi Rei,Yamamoto Mikana,Hayakawa Yuna,Shiotsuki Keito,Kameno Zion,Sakashita Mako
7,Hara Karen,Fukuno Ami,Kuroda Fūwa,Asao Momoka,Manabe Anju,Shiotsuki Keito,Shinzawa Nao,Kawakami Chihiro,Kojima Karin,Tatsumoto Yayoi,Izumi Ayano,Abe Wakana,Satsuki Aika,Shinzawa Nao,Izumi Ayano,Jōnishi Rei,Yamamoto Hikaru,Sakamoto Risa,Shiotsuki Keito,Abe Wakana,Shibuya Nagisa,Shiotsuki Keito,Sakata Misaki,Jōnishi Rei,Uno Mizuki,Katō Yūka,Sadano Haruka,Shibuya Nagisa,Katō Yūka,Shinzawa Nao,Mizuta Shiori,Kawakami Chihiro,Sakamoto Risa,Shiotsuki Keito,Kuroda Fūwa,Kojima Karin,Satsuki Aika,Yamamoto Hikaru,Kameno Zion,Abe Wakana,Matsumoto Mihina,Hara Karen,Yoshino Misaki,Sakamoto Risa,Hara Karen,Okamoto Rena,Shinzawa Nao,Hirayama Mai,Kameno Zion,Ishida Yūmi,Shinzawa Nao
