,nvmea,otabe<3,mana<3,Riku,GeoFreak,udon,CYシワイ@しおん,Produce Maven,yuumi bestest,poppop_po,PT,syn,Sano,Aruda,Hachiko,Danchuu,ffox,Rainnous,pao,tercet,Arkasas,maven48,Peachie,Seb,Risuke,HotSauce,l. 217,Batata,davidp,zeroshiki,ahu<3,Mithena,neovely,JAR,Jocasta,Vesicularorb,Dina,Moomin,Danny,NmbBaku,arashi,Arsene,Ame,PEACE Achilles
16,    Sakata Misaki, Sakashita Mako, Sakata Misaki,    Ike Honoka,    Kawakami Chihiro, Sumino Wakana,Hori Shion, Lee Siyeon,Ishida Yūmi,    Yamamoto Mikana, Sadano Haruka,Katō Yūka,Abe Wakana, Abe Wakana, Shibuya Nagisa,Lee Siyeon, Hara Karen,    Izumi Ayano, Yamamoto Mikana,    Sakashita Mako,    Jōnishi Rei, Kuroda Fūwa,    Shinzawa Nao,    Shiotsuki Keito,Jōnishi Rei, Sakata Misaki, Wada Miyu,    Fukuno Ami, Shibuya Nagisa,Yamamoto Mikana, Sakashita Mako, Yamamoto Mikana, Lee Siyeon, Sakurada Ayaka, Shiotsuki Keito, Sadano Haruka, Kameno Zion, Lee Siyeon, Shibuya Nagisa,    Deguchi Yuina, Yamamoto Mikana, Jōnishi Rei, Jōnishi Rei,    Kuroshima Sakura
15,    Shinzawa Nao, Asao Momoka, Tatsumoto Yayoi,    Sakurada Ayaka,    Tatsumoto Yayoi, Satsuki Aika,Tanaka Yukino, Shiotsuki Keito,Nihei Manami,    Abe Wakana, Lee Siyeon,Kawakami Chihiro,Lee Siyeon, Lee Siyeon, Sakata Misaki,Satsuki Aika, Maeda Reiko,    Hara Karen, Sumino Wakana,    Kojima Karin,    Kojima Karin, Asao Momoka,    Kuroda Fūwa,    Kameno Zion,Kawakami Chihiro, Shinzawa Nao, Asao Momoka,    Shibuya Nagisa, Kawakami Chihiro,Shibuya Nagisa, Yamamoto Mikana, Tatsumoto Yayoi, Sumino Wakana, Wada Miyu, Lee Siyeon, Kawakami Chihiro, Yamamoto Mikana, Yamamoto Mikana, Yoshino Misaki,    Nakano Mirai, Abe Wakana, Shiotsuki Keito, Yamamoto Mikana,    Sakashita Mako
14,    Yoshino Misaki, Sakata Misaki, Yamamoto Mikana,    Matsuoka Sakura,    Deguchi Yuina, Sakurada Ayaka,Sakamoto Risa, Sakurada Ayaka,Hirayama Mai,    Kojima Karin, Kuroda Fūwa,Lee Siyeon,Shibuya Nagisa, Aobara Waka, Yamamoto Mikana,Tatsumoto Yayoi, Shibuya Nagisa,    Katō Yūka, Jōnishi Rei,    Yamamoto Mikana,    Shibuya Nagisa, Abe Wakana,    Asao Momoka,    Yamamoto Mikana,Shiotsuki Keito, Jōnishi Rei, Hara Karen,    Shiotsuki Keito, Abe Wakana,Sakashita Mako, Shibuya Nagisa, Kameno Zion, Sakata Misaki, Izumi Ayano, Kojima Karin, Lee Siyeon, Maeda Reiko, Kawakami Chihiro, Sakashita Mako,    Hayakawa Yuna, Jōnishi Rei, Aobara Yuka, Abe Wakana,    Satsuki Aika
13,    Yoshimi Ayane,Tatsumoto Yayoi, Yoshino Misaki,    Fukuno Ami,    Sakurada Ayaka, Deguchi Yuina,Lee Siyeon, Sakamoto Risa,Shibuya Nagisa,    Shibuya Nagisa, Sumino Wakana,Jōnishi Rei,Yamamoto Mikana, Kuroda Fūwa, Manabe Anju,Asao Momoka, Tanaka Yukino,    Lee Siyeon, Lee Siyeon,    Shibuya Nagisa,    Satsuki Aika, Shinzawa Nao,    Shibuya Nagisa,    Yoshino Misaki,Abe Wakana, Sumino Wakana, Sadano Haruka,    Izumi Ayano, Sadano Haruka,Sakurada Ayaka, Kojima Karin, Tanaka Yukino, Shibuya Nagisa, Yamamoto Mikana, Jōnishi Rei, Hara Karen, Izumi Ayano, Jōnishi Rei, Kojima Karin,    Lee Siyeon, Shiotsuki Keito, Matsuoka Sakura, Kawakami Chihiro,    Hayakawa Yuna
12,    Manabe Anju, Haga Rei, Sakashita Mako,    Sakashita Mako,    Izumi Ayano, Sakashita Mako,Matsuno Mio, Shinzawa Nao,Sakata Misaki,    Ikeda Tenna, Kuroshima Sakura,Tanaka Yukino,Sakata Misaki, Jōnishi Rei, Yoshino Misaki,Matsumoto Mihina, Shiotsuki Keito,    Shiotsuki Keito, Shibuya Nagisa,    Sakata Misaki,    Sumino Wakana, Sakata Misaki,    Sakamoto Risa,    Maeda Reiko,Katō Yūka, Tatsumoto Yayoi, Deguchi Yuina,    Hara Karen, Deguchi Yuina,Tanaka Yukino, Sumino Wakana, Shiotsuki Keito, Kuroda Fūwa, Sakashita Mako, Tanaka Yukino, Jōnishi Rei, Kawakami Chihiro, Shibuya Nagisa, Hara Karen,    Shiotsuki Keito, Shibuya Nagisa, Tatsumoto Yayoi, Shinzawa Nao,    Miyamoto Ami
11,    Kuroda Fūwa, Shinzawa Nao, Aobara Yuka,    Satsuki Aika,    Maeda Reiko, Lee Siyeon,Sakashita Mako, Kuroda Fūwa,Jōnishi Rei,    Tatsumoto Yayoi, Haga Rei,Maeda Reiko,Hongō Yuzuha, Tanaka Yukino, Hayakawa Yuna,Matsuno Mio, Yamamoto Mikana,    Maeda Reiko, Sakata Misaki,    Satsuki Aika,    Matsuno Mio, Katō Yūka,    Abe Wakana,    Katō Yūka,Sumino Wakana, Shibuya Nagisa, Tatsumoto Yayoi,    Yamamoto Mikana, Katō Yūka,Kameno Zion, Hongō Yuzuha, Abe Wakana, Kawakami Chihiro, Katō Yūka, Shibuya Nagisa, Shibuya Nagisa, Yamamoto Hikaru, Hori Shion, Kuroda Fūwa,    Abe Wakana, Kameno Zion, Sakurada Ayaka, Kuroda Fūwa,    Shibuya Nagisa
10,    Sumino Wakana, Shiotsuki Keito, Ikeda Tenna,    Tatsumoto Yayoi,    Matsuoka Sakura, Tatsumoto Yayoi,Satsuki Aika, Satsuki Aika,Satsuki Aika,    Sakurada Ayaka, Deguchi Yuina,Yamamoto Mikana,Satsuki Aika, Shibuya Nagisa, Abe Wakana,Sakashita Mako,  Yoshino Misaki,    Sadano Haruka, Kojima Karin,    Sumino Wakana,    Yoshino Misaki, Ishida Yūmi,    Aobara Yuka,    Sakashita Mako,Satsuki Aika, Sakashita Mako, Sumino Wakana,    Sakata Misaki, Yoshino Misaki,Shinzawa Nao, Shinzawa Nao, Hara Karen, Satsuki Aika, Yoshino Misaki, Hara Karen, Ishida Yūmi, Abe Wakana, Asao Momoka, Deguchi Yuina,    Maeda Reiko, Kawakami Chihiro,  Aobara Waka, Asao Momoka,    Maeda Reiko
9,    Tanaka Yukino, Maeda Reiko, Abe Wakana,    Shinzawa Nao,    Fukuno Ami, Sakamoto Risa,Abe Wakana, Asao Momoka,Kameno Zion,    Sakata Misaki, Maeda Reiko,Yamamoto Hikaru,Nakano Mirai, Yamamoto Mikana, Ishida Yūmi,Matsuoka Sakura, Jōnishi Rei,    Manabe Anju, Tatsumoto Yayoi,    Shiotsuki Keito,    Kinugasa Ayami, Kawakami Chihiro,    Wada Miyu,    Satsuki Aika,Wada Miyu, Yamamoto Mikana, Mizuta Shiori,    Tanaka Yukino, Sakashita Mako,Kuroda Fūwa, Jōnishi Rei, Yoshino Misaki, Ike Honoka, Sakamoto Risa, Manabe Anju, Shinzawa Nao, Mizuta Shiori, Hara Karen, Abe Wakana,    Sadano Haruka, Satsuki Aika, Hara Karen, Hara Karen,    Matsumoto Mihina
8,    Ikeda Tenna, Sumino Wakana, Satsuki Aika,    Sumino Wakana,    Matsuno Mio, Asao Momoka,Hara Karen, Kameno Zion,Kojima Karin,    Satsuki Aika, Kameno Zion,Yoshimi Ayane,Izumi Ayano, Sakurada Ayaka, Hara Karen,Aobara Yuka, Kojima Karin,    Hirayama Mai, Matsuoka Sakura,    Sakurada Ayaka,    Abe Wakana, Hongō Yuzuha,    Lee Siyeon,    Kuroda Fūwa,Tanaka Yukino, Abe Wakana, Kuroda Fūwa,    Tatsumoto Yayoi, Satsuki Aika,Asao Momoka, Satsuki Aika, Satsuki Aika, Sakurada Ayaka, Matsumoto Mihina, Izumi Ayano, Asao Momoka, Shiotsuki Keito, Sakashita Mako, Sadano Haruka,    Manabe Anju, Hara Karen, Asao Momoka, Sakashita Mako,    Matsuoka Sakura
7,    Wada Miyu, Fukuno Ami, Kojima Karin,    Sakamoto Risa,    Manabe Anju, Kameno Zion,Manabe Anju, Sumino Wakana,Katō Yūka,    Maeda Reiko, Sakamoto Risa,Izumi Ayano,Maeda Reiko, Kawakami Chihiro, Lee Siyeon,Miyamoto Ami, Kawakami Chihiro,    Hayakawa Yuna, Manabe Anju,    Jōnishi Rei,    Shiotsuki Keito, Maeda Reiko,    Tatsumoto Yayoi,   Jōnishi Rei,Sakata Misaki, Sadano Haruka, Sakurada Ayaka,    Sadano Haruka, Mizuta Shiori,Abe Wakana, Sakurada Ayaka, Shinzawa Nao, Abe Wakana, Ike Honoka, Tatsumoto Yayoi, Wada Miyu, Hara Karen, Wada Miyu, Yamamoto Mikana,    Jōnishi Rei, Lee Siyeon, Abe Wakana, Wada Miyu,   Ike Honoka
