,nvmea,ahu,Logic,riku,sleeves<3,Peachie,Cammy,Platinam Flash,Risuke,mana<3,Seb,Razgriz,Groovy,Rainnous,icecream,Sano,Ombre,Aruda,Arkasas,akniteu,Geoff,Matt,HotSauce,Martin Roy,Jar,otabe,Kyuri,Ame,Hugo,Batata,chao,poppop,vlad,mari,Leina,Onieyez,skyrin,Part-Time Pirates,PT,wave,LemonTea,dina,Smilodon,pao,firstky,SaitoWinterStar,ffox,zeroshiki,David
16,Hongo Yuzuha,Umeyama Cocona,Kojima Karin,Yamasaki Amiru,Yamamoto Mikana,Umeyama Cocona,Umeyama Cocona,Hongo Yuzuha,Yasuda Momone,Umeyama Cocona,Shiotsuki Keito,Yasuda Momone,Shibuya Nagisa,Kato Yuuka,Hongo Yuzuha,Umeyama Cocona,Abe Wakana,Abe Wakana,Shibuya Nagisa,Umeyama Cocona,Kawakami Chihiro,Hara Karen,Umeyama Cocona,Abe Wakana,Kato Yuuka,Umeyama Cocona,Hara Karen,Jonishi Rei,Kawakami Chihiro,Minami Haasa,Kojima Karin,Yamamoto Mikana,Uno Mizuki,Shibuya Nagisa,Jonishi Rei,Deguchi Yuina,Umeyama Cocona,Hongo Yuzuha,Hongo Yuzuha,Kato Yuuka,Yamamoto Mikana,Kawano Nanaho,Yamamoto Mikana,Yamamoto Mikana,Kuroda Fuuwa,Shibuya Nagisa,Shibuya Nagisa,Yamamoto Mikana,Shibuya Nagisa
15,Shobu Marin,Yamamoto Mikana,Shiotsuki Keito,Nakano Mirai,Kameno Zion,Yasuda Momone,Abe Wakana,Shinzawa Nao,Sumino Wakana,Yamamoto Mikana,Yamamoto Mikana,Jonishi Rei,Shiotsuki Keito,Shiotsuki Keito,Hara Karen,Abe Wakana,Yamamoto Mikana,Jonishi Rei,Jonishi Rei,Yoshino Misaki,Kawano Nanaho,Yoshino Misaki,Wada Miyu,Shibuya Nagisa,Wada Miyu,Hara Karen,Yamasaki Amiru,Satsuki Aika,Abe Wakana,Shibuya Nagisa,Shibuya Nagisa,Shibuya Nagisa,Yasuda Momone,Manabe Anju,Hara Karen,Kuroda Fuuwa,Shinzawa Nao,Abe Wakana,Sumino Wakana,Kawakami Chihiro,Umeyama Cocona,Yamamoto Mikana,Shiotsuki Keito,Jonishi Rei,Hayakawa Yuna,Kawakami Chihiro,Hara Karen,Shibuya Nagisa,Kawakami Chihiro
14,Yasuda Momone,Jonishi Rei,Yamamoto Mikana,Sumino Wakana,Kuroda Fuuwa,Hongo Yuzuha,Shobu Marin,Wada Miyu,Satsuki Aika,Manabe Anju,Kameno Zion,Sumino Wakana,Minami Haasa,Hara Karen,Kato Yuuka,Shibuya Nagisa,Umeyama Cocona,Kuroda Fuuwa,Satsuki Aika,Kameno Zion,Deguchi Yuina,Kuroda Fuuwa,Yamamoto Mikana,Umeyama Cocona,Yamasaki Amiru,Yoshino Misaki,Abe Wakana,Sugiura Kotone,Jonishi Rei,Shiotsuki Keito,Yamamoto Mikana,Kawano Nanaho,Kameno Zion,Yamasaki Amiru,Umeyama Cocona,Izumi Ayano,Kato Yuuka,Maeda Reiko,Sadano Haruka,Hongo Yuzuha,Wada Miyu,Maeda Reiko,Umeyama Cocona,Kawano Nanaho,Yamamoto Mikana,Shiotsuki Keito,Maeda Reiko,Kameno Zion,Kato Yuuka
13,Okamoto Rena,Shibuya Nagisa,Umeyama Cocona,Abe Wakana,Umeyama Cocona,Shinzawa Nao,Shiotsuki Keito,Jonishi Rei,Wada Miyu,Yoshino Misaki,Yoshino Misaki,Hongo Yuzuha,Hongo Yuzuha,Izumi Ayano,Jonishi Rei,Kawano Nanaho,Jonishi Rei,Shobu Marin,Kojima Karin,Yasuda Momone,Yasuda Momone,Abe Wakana,Shibuya Nagisa,Hongo Yuzuha,Izumi Ayano,Hongo Yuzuha,Umeyama Cocona,Abe Wakana,Kojima Karin,Deguchi Yuina,Abe Wakana,Abe Wakana,Jonishi Rei,Umeyama Cocona,Minami Haasa,Hongo Yuzuha,Lee Siyeon,Kawano Nanaho,Yasuda Momone,Sadano Haruka,Jonishi Rei,Umeyama Cocona,Kameno Zion,Umeyama Cocona,Kawano Nanaho,Shinzawa Nao,Yamamoto Mikana,Umeyama Cocona,Hongo Yuzuha
12,Hara Karen,Yamasaki Amiru,Abe Wakana,Hongo Yuzuha,Abe Wakana,Jonishi Rei,Shinzawa Nao,Kojima Karin,Jonishi Rei,Abe Wakana,Kato Yuuka,Hori Shion,Nakano Mirai,Shibuya Nagisa,Satsuki Aika,Kameno Zion,Sadano Haruka,Hongo Yuzuha,Yoshino Misaki,Abe Wakana,Ishida Yuumi,Deguchi Yuina,Abe Wakana,Shinzawa Nao,Yoshino Misaki,Yasuda Momone,Jonishi Rei,Yamamoto Mikana,Shinzawa Nao,Kawano Nanaho,Shiotsuki Keito,Hongo Yuzuha,Umeyama Cocona,Abe Wakana,Shibuya Nagisa,Satsuki Aika,Kawakami Chihiro,Yamamoto Mikana,Izumi Ayano,Kuroda Fuuwa,Hara Karen,Yamasaki Amiru,Kuroda Fuuwa,Manabe Anju,Shobu Marin,Abe Wakana,Abe Wakana,Asao Momoka,Deguchi Yuina
11,Nakano Mirai,Kojima Karin,Jonishi Rei,Shiotsuki Keito,Shiotsuki Keito,Kato Yuuka,Hongo Yuzuha,Yamamoto Mikana,Kawakami Chihiro,Hongo Yuzuha,Maeda Reiko,Izumi Ayano,Yasuda Momone,Minami Haasa,Yamasaki Amiru,Minami Haasa,Yasuda Momone,Lee Siyeon,Yasuda Momone,Kuroda Fuuwa,Yamasaki Amiru,Umeyama Cocona,Sadano Haruka,Yamamoto Mikana,Yamamoto Mikana,Maeda Reiko,Kojima Karin,Hongo Yuzuha,Izumi Ayano,Izumi Ayano,Kato Yuuka,Shiotsuki Keito,Kojima Karin,Wada Miyu,Shiotsuki Keito,Kato Yuuka,Jonishi Rei,Kawakami Chihiro,Abe Wakana,Hara Karen,Shinzawa Nao,Minami Haasa,Izumi Ayano,Shibuya Nagisa,Satsuki Aika,Deguchi Yuina,Kawano Nanaho,Abe Wakana,Shiotsuki Keito
10,Yoshino Misaki,Hongo Yuzuha,Shibuya Nagisa,Umeyama Cocona,Nakano Mirai,Shibuya Nagisa,Yamamoto Mikana,Ishida Yuumi,Kato Yuuka,Shiotsuki Keito,Shobu Marin,Satsuki Aika,Maeda Reiko,Sadano Haruka,Shibuya Nagisa,Satsuki Aika,Hara Karen,Yamasaki Amiru,Shiotsuki Keito,Kato Yuuka,Abe Wakana,Shibuya Nagisa,Yasuda Momone,Shiotsuki Keito,Kawano Nanaho,Abe Wakana,Hongo Yuzuha,Lee Siyeon,Kameno Zion,Hara Karen,Umeyama Cocona,Hara Karen,Maeda Reiko,Kato Yuuka,Yamamoto Mikana,Sadano Haruka,Yamamoto Mikana,Izumi Ayano,Umeyama Cocona,Yasuda Momone,Shiotsuki Keito,Deguchi Yuina,Hara Karen,Kuroda Fuuwa,Shiotsuki Keito,Umeyama Cocona,Shiotsuki Keito,Satsuki Aika,Abe Wakana
9,Manabe Anju,Satsuki Aika,Hongo Yuzuha,Satsuki Aika,Yoshino Misaki,Abe Wakana,Jonishi Rei,Hara Karen,Shibuya Nagisa,Sadano Haruka,Shibuya Nagisa,Kuroda Fuuwa,Sadano Haruka,Okamoto Rena,Hirayama Mai,Izumi Ayano,Hongo Yuzuha,Yoshino Misaki,Hara Karen,Shiotsuki Keito,Maeda Reiko,Hayakawa Yuna,Sumino Wakana,Kojima Karin,Ishida Yuumi,Nakagawa Mion,Yamamoto Mikana,Umeyama Cocona,Satsuki Aika,Okamoto Rena,Kawakami Chihiro,Jonishi Rei,Nakagawa Mion,Jonishi Rei,Maeda Reiko,Shinzawa Nao,Kojima Karin,Umeyama Cocona,Deguchi Yuina,Shiotsuki Keito,Shibuya Nagisa,Kameno Zion,Wada Miyu,Minami Haasa,Shinzawa Nao,Kojima Karin,Jonishi Rei,Minami Haasa,Sadano Haruka
8,Kuroda Fuuwa,Sumino Wakana,Sumino Wakana,Kawakami Chihiro,Asao Momoka,Shiotsuki Keito,Hara Karen,Yamasaki Amiru,Umeyama Cocona,Kuroda Fuuwa,Jonishi Rei,Uno Mizuki,Izumi Ayano,Manabe Anju,Abe Wakana,Yamasaki Amiru,Shibuya Nagisa,Kawano Nanaho,Sadano Haruka,Hongo Yuzuha,Kato Yuuka,Wada Miyu,Kato Yuuka,Sadano Haruka,Shibuya Nagisa,Shobu Marin,Kawakami Chihiro,Kawakami Chihiro,Yamasaki Amiru,Kato Yuuka,Kawano Nanaho,Minami Haasa,Okamoto Rena,Deguchi Yuina,Yamasaki Amiru,Shobu Marin,Hongo Yuzuha,Kojima Karin,Maeda Reiko,Satsuki Aika,Yoshino Misaki,Abe Wakana,Jonishi Rei,Shinzawa Nao,Yamasaki Amiru,Jonishi Rei,Umeyama Cocona,Kuroda Fuuwa,Minami Haasa
7,Sumino Wakana,Minami Haasa,Satsuki Aika,Hara Karen,Satsuki Aika,Kuroda Fuuwa,Kawano Nanaho,Shobu Marin,Abe Wakana,Maeda Reiko,Abe Wakana,Nakagawa Mion,Kawano Nanaho,Lee Siyeon,Deguchi Yuina,Shiotsuki Keito,Kato Yuuka,Shibuya Nagisa,Sumino Wakana,Izumi Ayano,Shibuya Nagisa,Jonishi Rei,Hara Karen,,,Yamamoto Mikana,Shibuya Nagisa,Manabe Anju,Hara Karen,Umeyama Cocona,Yoshino Misaki,Satsuki Aika,Sadano Haruka,Yoshino Misaki,Kojima Karin,Yamamoto Mikana,Yoshino Misaki,Nakano Mirai,Mizuta Shiori,Shinzawa Nao,Hara Karen,Satsuki Aika,Ishida Yuumi,Yamasaki Amiru,,Yasuda Momone,Kato Yuuka,Shinzawa Nao,Hara Karen
